,inference_time,p_tar,nr_branch_edge,nr_branch_model
0,2.985650062561035,0.7,2.0,5.0
1,1.804764986038208,0.7,2.0,5.0
2,0.1788609027862548,0.8,2.0,5.0
3,0.1970331668853759,0.85,2.0,5.0
4,0.2184181213378906,0.9,2.0,5.0
5,0.1539065837860107,0.7,3.0,5.0
6,0.1349081993103027,0.8,3.0,5.0
7,0.1518774032592773,0.85,3.0,5.0
8,0.1246604919433593,0.9,3.0,5.0
9,0.1759786605834961,0.7,4.0,5.0
10,0.145751953125,0.8,4.0,5.0
11,0.1673023700714111,0.85,4.0,5.0
12,0.2191441059112548,0.9,4.0,5.0
13,0.0554292201995849,0.7,5.0,5.0
14,0.0431630611419677,0.8,5.0,5.0
15,0.1264023780822754,0.85,5.0,5.0
16,0.0989542007446289,0.9,5.0,5.0
17,0.1630086898803711,0.7,2.0,5.0
18,0.122366189956665,0.8,2.0,5.0
19,0.1123383045196533,0.85,2.0,5.0
20,0.1158690452575683,0.9,2.0,5.0
21,0.4870576858520508,0.7,3.0,5.0
22,0.092656135559082,0.8,3.0,5.0
23,0.1088201999664306,0.85,3.0,5.0
24,0.0871546268463134,0.9,3.0,5.0
25,0.1185173988342285,0.7,4.0,5.0
26,0.1562869548797607,0.8,4.0,5.0
27,0.1700615882873535,0.85,4.0,5.0
28,0.1262965202331543,0.9,4.0,5.0
29,0.0333802700042724,0.7,5.0,5.0
30,0.0481398105621337,0.8,5.0,5.0
31,0.0409622192382812,0.85,5.0,5.0
32,0.0336101055145263,0.9,5.0,5.0
33,0.1606018543243408,0.7,2.0,5.0
34,0.1733813285827636,0.8,2.0,5.0
35,0.1545302867889404,0.85,2.0,5.0
36,0.1565608978271484,0.9,2.0,5.0
37,0.101248025894165,0.7,3.0,5.0
38,0.1438498497009277,0.8,3.0,5.0
39,0.1339478492736816,0.85,3.0,5.0
40,0.1318836212158203,0.9,3.0,5.0
41,0.1705000400543213,0.7,4.0,5.0
42,0.1641147136688232,0.8,4.0,5.0
43,0.1241416931152343,0.85,4.0,5.0
44,0.681859016418457,0.9,4.0,5.0
45,0.0433051586151123,0.7,5.0,5.0
46,0.1183211803436279,0.8,5.0,5.0
47,0.0927233695983886,0.85,5.0,5.0
48,0.109250783920288,0.9,5.0,5.0
49,0.151594877243042,0.7,2.0,5.0
50,0.1328275203704834,0.8,2.0,5.0
51,0.1530485153198242,0.85,2.0,5.0
52,0.1350030899047851,0.9,2.0,5.0
53,0.1072025299072265,0.7,3.0,5.0
54,0.1198301315307617,0.8,3.0,5.0
55,0.1330931186676025,0.85,3.0,5.0
56,0.0904736518859863,0.9,3.0,5.0
57,0.1603021621704101,0.7,4.0,5.0
58,0.127617597579956,0.8,4.0,5.0
59,0.1391069889068603,0.85,4.0,5.0
60,0.1291141510009765,0.9,4.0,5.0
61,0.0957016944885253,0.7,5.0,5.0
62,0.0978567600250244,0.8,5.0,5.0
63,0.0976359844207763,0.85,5.0,5.0
64,0.0976269245147705,0.9,5.0,5.0
65,0.2171735763549804,0.7,2.0,5.0
66,0.2053418159484863,0.8,2.0,5.0
67,0.1994006633758545,0.85,2.0,5.0
68,0.1908564567565918,0.9,2.0,5.0
69,0.1413483619689941,0.7,3.0,5.0
70,0.1517431735992431,0.8,3.0,5.0
71,0.1446585655212402,0.85,3.0,5.0
72,0.1364984512329101,0.9,3.0,5.0
73,0.1669743061065673,0.7,4.0,5.0
74,0.1582772731781005,0.8,4.0,5.0
75,0.1653251647949218,0.85,4.0,5.0
76,0.1597871780395507,0.9,4.0,5.0
77,0.1399042606353759,0.7,5.0,5.0
78,0.1234641075134277,0.8,5.0,5.0
79,0.1009578704833984,0.85,5.0,5.0
80,0.1272664070129394,0.9,5.0,5.0
81,0.1851887702941894,0.7,2.0,5.0
82,0.153428316116333,0.8,2.0,5.0
83,0.1512761116027832,0.85,2.0,5.0
84,0.1790485382080078,0.9,2.0,5.0
85,0.1238133907318115,0.7,3.0,5.0
86,0.1354563236236572,0.8,3.0,5.0
87,0.1279165744781494,0.85,3.0,5.0
88,0.1227130889892578,0.9,3.0,5.0
89,0.151005744934082,0.7,4.0,5.0
90,0.1361887454986572,0.8,4.0,5.0
91,0.1506609916687011,0.85,4.0,5.0
92,0.1358561515808105,0.9,4.0,5.0
93,0.1496477127075195,0.7,5.0,5.0
94,0.1250271797180175,0.8,5.0,5.0
95,0.1216437816619873,0.85,5.0,5.0
96,0.1077258586883544,0.9,5.0,5.0
97,0.2071855068206787,0.7,2.0,5.0
98,0.1826803684234619,0.8,2.0,5.0
99,0.1830670833587646,0.85,2.0,5.0
100,0.2121222019195556,0.9,2.0,5.0
101,0.1472995281219482,0.7,3.0,5.0
102,0.1400580406188964,0.8,3.0,5.0
